state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch,stabrv,region,reg,fatal,fatal1517,fatal1820,fatal2124,fatal1517n,fatal1820n,fatal2124n,perincK
GA,1986,1.77,5.9000001,13891.641,63.303368,2.352941,23.603201,.48457,20.25,.42458999,.188869,9344.7676,0,0,0,1530,.00025082001,263,.0000431148,165,119,.00038263699,22,.000070740003,153,41,.00047076924,.00012615384,183,.00044417501,49,.000118932,463.13,.000075923002,6099991.5,310999.72,325000,411999.78,57003.004,7,60.700001,.065295093,GA,S,S,2.5082002,3.82637,4.7076926,4.44175,.70740002,1.2615384,1.1893201,13.891641
GA,1987,1.75,5.5,14306,63.320889,2.28,23.347099,.50029999,21,.20728,.184329,9690.2813,0,0,0,1599,.00025699101,264,.0000424301,164,113,.00035873,13,.000041269999,134,29,.00041358001,.000089506,190,.00046228699,49,.000119221,470.42999,.000075607,6222007.5,315000.13,324000.19,411000.09,60293.004,6.1999998,61.5,.06480597,GA,S,S,2.56991,3.5873001,4.1357999,4.62287,.4127,.89506,1.19221,14.306
GA,1988,1.72,5.8000002,14687.199,64.06385,2.1944177,23.0938,.51656002,21,.20728,.17488299,9817.3955,0,0,0,1653,.00026064299,272,.0000428887,171,125,.000400641,15,.000048077,171,49,.00055699999,.000159609,170,.00039999999,49,.000115294,484.88,.000076454999,6342008,312000.03,307001.81,425000,62262,5.5,62.300003,.044321559,GA,S,S,2.6064298,4.0064101,5.5699997,4,.48076999,1.59609,1.15294,14.6872
ID,1982,1.39,9.8000002,11078.759,58.823532,.40274465,1.02369,25.157499,19,0,.233786,8033.752,0,0,0,256,.00026175901,47,.0000480573,24,29,.000604167,4,.000083332998,38,10,.00072730117,.00019139505,32,.000463768,13,.000188406,76.790001,.000078521,977998.81,47999.973,52247.957,69000.016,7857,9.6999998,57.799999,-.05412031,ID,W,W,2.6175902,6.0416698,7.2730117,4.6376801,.83332998,1.9139506,1.88406,11.078759
ID,1983,1.3,9.8000002,11346.33,59.855072,.3870413,1.03574,24.9879,19,0,.228551,8387.6416,0,0,0,263,.00026619399,44,.000044534401,31,15,.000319149,4,.000085106003,38,12,.00073534157,.00023221313,36,.00052173901,6,.000086956999,88.279999,.000089348003,988001.25,46999.992,51676.664,69000.016,8287,9.6000004,57.900002,.045208,ID,W,W,2.6619399,3.1914899,7.3534155,5.2173901,.85106003,2.3221314,.86957002,11.34633
ID,1984,1.28,7.1999998,11386.813,61.37339,.37087911,1.04794,24.819599,19,0,.218236,7775.7681,0,0,0,242,.00024224199,34,.000034034001,22,24,.000510638,2,.000042553002,26,8,.0005086906,.00015652018,33,.000485294,7,.000102941,79.660004,.000079735,999001,47000.027,51111.617,68000.016,7768,7.5,59.500004,.03872868,ID,W,W,2.42242,5.10638,5.086906,4.8529401,.42553002,1.5652019,1.02941,11.386813
ID,1985,1.1799999,7.9000001,11459.746,61.285717,.35752121,1.06028,24.6523,19,0,.212606,7671.6318,0,0,0,255,.00025373101,53,.000052736301,34,17,.000361702,7,.000148936,38,13,.00075169001,.00025715711,27,.000415385,9,.000138462,73.650002,.000073283998,1005001.3,47000.016,50552.754,64999.941,7710,7.1999998,60.100002,.021042932,ID,W,W,2.5373101,3.6170199,7.5169001,4.1538501,1.48936,2.5715711,1.38462,11.459746
ID,1986,1.12,8.6999998,11541.796,61.103256,.34829721,1.07277,24.4862,19,0,.207312,7899.2007,0,0,0,258,.00025748499,48,.000047904199,35,33,.00067346898,5,.000102041,31,10,.00062000001,.00019999999,32,.00050793699,9,.000142857,84.019997,.000083856998,1002000.1,49000.031,50000,62999.941,7915,7,60.700001,-.015105814,ID,W,W,2.5748498,6.7346897,6.2000003,5.07937,1.0204099,2,1.4285699,11.541796
ID,1987,1.0599999,8,11859,61.181431,.33750001,1.0854,24.321199,20.5,0,.202263,8135.2686,0,0,0,262,.00026252499,53,.0000531062,39,22,.00044897999,5,.000102041,34,11,.00070833002,.000229167,34,.000557377,11,.000180328,78.18,.000078338002,998000.25,48999.957,48000.227,61000.004,8119,6.1999998,61.5,.00056425272,ID,W,W,2.6252499,4.4898,7.0833001,5.57377,1.0204099,2.2916698,1.80328,11.859
ID,1988,1.0700001,5.8000002,12189.605,62.900978,.32483158,1.0981801,24.157301,21,0,.18999401,8102.6821,0,0,0,257,.000256231,36,.000035892299,25,22,.000458333,4,.000083332998,30,6,.00063830003,.00012765999,30,.000526316,6,.000105263,72.800003,.000072581999,1003001.2,48000.035,46999.84,56999.977,8127,5.5,62.300003,.049587458,ID,W,W,2.56231,4.5833302,6.3830004,5.2631598,.83332998,1.2765999,1.0526301,12.189606
IL,1982,2.04,11.3,14743.437,58.074318,.18854415,2.3469701,.2333,21,6.4035501,.209362,5696.5347,0,0,0,1651,.00014384001,418,.000036417499,229,106,.000181818,23,.000039450999,203,80,.00032829886,.00012937887,224,.00026666699,98,.000116667,532.98999,.000046435001,11478031,583000.56,618339,839999,65385,9.6999998,57.799999,-.039935548,IL,MW,MW,1.4384,1.8181801,3.2829885,2.6666698,.39451,1.2937887,1.16667,14.743437
IL,1983,1.96,11.4,14745.413,57.745659,.18119267,2.37081,.252,21,6.3963099,.20500401,5862.8682,0,0,0,1526,.00013280001,362,.000031502899,201,96,.000171429,18,.000032143002,187,64,.00030891181,.00010572383,195,.000235792,85,.000102781,501.10001,.000043608001,11490963,559998.63,605350.75,827000.06,67370,9.6000004,57.900002,.010906678,IL,MW,MW,1.3280001,1.71429,3.089118,2.3579199,.32143003,1.0572383,1.02781,14.745413
IL,1984,1.9299999,9.1000004,15390.11,59.136288,.17362638,2.3949001,.27219999,21,6.3790998,.195512,6067.5283,0,0,0,1547,.00013426501,343,.0000297691,206,99,.000182994,27,.000049908002,179,62,.00030204075,.00010461747,231,.00028308801,72,.000088235,462.28,.000040121002,11521990,541001.31,592635.25,816000.63,69910,7.5,59.500004,.068904206,IL,MW,MW,1.3426501,1.82994,3.0204074,2.8308802,.49908,1.0461746,.88234997,15.39011
IL,1985,1.86,9,15602.754,59.703564,.16737288,2.41923,.29390001,21,6.3719101,.19218799,6141.6763,0,0,0,1534,.000132987,304,.000026354601,162,73,.000137736,13,.000024528001,162,45,.00027922037,.000077561213,232,.000291092,82,.000102886,396.69,.000034389999,11534962,529999.44,580186.88,796998.88,70844,7.1999998,60.100002,.01876254,IL,MW,MW,1.32987,1.37736,2.7922037,2.9109199,.24528001,.77561212,1.02886,15.602754
IL,1986,1.75,8.1000004,15988.648,60.343243,.1630547,2.44381,.3175,21,4.4732099,.18555699,6345.7773,0,0,0,1596,.00013817,354,.000030646701,207,108,.00019963,20,.000036968999,178,64,.00031338027,.00011267605,238,.000320755,98,.000132075,475.67001,.000041179999,11550988,541000.88,568000,741999.31,73300,7,60.700001,.03088077,IL,MW,MW,1.3817,1.9963,3.1338027,3.20755,.36969,1.1267606,1.32075,15.988648
IL,1987,1.6799999,7.4000001,16417,60.999889,.15800001,2.4686301,.34290001,21,4.4612298,.182501,6540.8462,1,0,0,1660,.000143326,326,.0000281471,183,100,.00018797,18,.000033835,173,54,.00031284001,.000097648997,225,.00031120301,66,.000091285998,437.10999,.000037741,11581988,531999.81,552998.31,723000.75,75756,6.1999998,61.5,.026368385,IL,MW,MW,1.4332601,1.8796999,3.1284001,3.11203,.33835,.97648996,.91285998,16.417
IL,1988,1.63,6.8000002,16915.303,61.597084,.1520693,2.49371,.37029999,21,4.4612298,.170912,6757.6128,1,0,0,1837,.00015817099,364,.0000313415,228,110,.000216535,23,.000045276,210,68,.00040541001,.00013127401,225,.00030779801,63,.000086182998,506.85001,.000043641001,11614013,508001,517994.13,730998.88,78483,5.5,62.300003,.045050338,IL,MW,MW,1.58171,2.16535,4.0541,3.07798,.45275998,1.3127401,.86183,16.915302
IN,1982,1.4400001,11.9,12282.816,56.422924,.30913246,1.80443,.3283,21,0,.20299,7149.9175,1,0,0,961,.000175269,235,.000042859701,131,65,.000228873,21,.000073944,127,45,.00040909639,.00014495541,141,.00034223299,53,.000128641,348.89001,.000063631,5483000.5,284000.28,310440.28,412000.03,39203,9.6999998,57.799999,-.064519919,IN,MW,MW,1.75269,2.2887301,4.0909638,3.4223299,.73944002,1.4495541,1.28641,12.282816
IN,1983,1.39,11.1,12364.679,56.484222,.29707912,1.85902,.3434,21,0,.180198,7277.5063,1,0,0,1016,.00018560499,212,.0000387285,130,65,.000238971,11,.000040440998,130,43,.00042780768,.00014150562,146,.00036049401,56,.00013827199,346.76999,.000063348998,5473990.5,271999.53,303874.88,404999.78,39837,9.6000004,57.900002,.015555702,IN,MW,MW,1.8560499,2.3897099,4.2780766,3.6049402,.40440997,1.4150562,1.3827199,12.364678
IN,1984,1.39,8.6000004,13008.791,58.719646,.28467363,1.91527,.3592,21,0,.103286,7478.8872,0,0,0,925,.000168427,191,.000034777899,119,83,.00031439401,20,.000075757998,102,32,.00034291676,.00010758173,137,.000343358,54,.00013533801,351.45001,.000063993,5491993.5,263999.94,297448.28,399000.47,41074,7.5,59.500004,.077305168,IN,MW,MW,1.6842699,3.1439402,3.4291675,3.4335799,.75757998,1.0758172,1.3533801,13.008791
IN,1985,1.39,7.9000001,13161.017,61.436951,.27442053,1.97321,.37580001,21,0,.185119,7416.2529,0,0,0,974,.000177123,166,.000030187301,93,77,.000296154,14,.000053846001,109,31,.00037436766,.00010647154,157,.00040463899,52,.000134021,302.45001,.000055001001,5499003.5,259999.86,291157.63,388000.19,40782,7.1999998,60.100002,.016891468,IN,MW,MW,1.77123,2.96154,3.7436767,4.0463901,.53846002,1.0647154,1.34021,13.161016
IN,1986,1.28,6.6999998,13582.043,62.451458,.26734054,2.0329199,.39309999,21,0,.12042,7714.3223,0,0,0,1038,.00018862401,192,.000034890101,131,83,.000307407,15,.000055556,119,34,.00041754387,.00011929825,142,.00039664801,55,.000153631,290.31,.000052754,5503011,270000.38,285000,358000.03,42452,7,60.700001,.030762155,IN,MW,MW,1.88624,3.07407,4.1754389,3.9664803,.55555999,1.1929824,1.53631,13.582043
IN,1987,1.29,6.4000001,13937,61.928814,.25905299,2.09442,.41119999,21,0,.097662002,7977.2158,0,0,0,1055,.000190743,194,.000035075002,123,100,.00037036999,20,.000074074,99,32,.00035484001,.000114695,118,.00033618201,38,.000108262,254.86,.000046079,5531002.5,270000.28,278998.97,351000.34,44122,6.1999998,61.5,.040988639,IN,MW,MW,1.9074299,3.7036998,3.5484002,3.3618202,.74074,1.14695,1.08262,13.937
IN,1988,1.28,5.3000002,14363.812,63.40649,.24932915,2.1577899,.43020001,21,0,.073137,9201.5762,0,0,0,1101,.00019816399,202,.000036357102,123,90,.000344828,19,.000072796996,132,36,.00050769001,.000138462,141,.00039385501,44,.000122905,322.39999,.000058026999,5556004.5,260999.69,260001.17,357999.75,51124,5.5,62.300003,.036438752,IN,MW,MW,1.98164,3.4482801,5.0769,3.93855,.72796994,1.38462,1.2290499,14.363811
IA,1982,1.25,8.5,12968.974,60.02779,.37589499,.46661001,.3283,19,0,.216399,6653.2632,0,0,0,480,.000165119,87,.0000299278,61,52,.00036111099,6,.000041667001,59,19,.00037016443,.0001192055,66,.00030555599,21,.000097222,219.28,.000075431002,2906994.5,144000.05,159388.63,215999.69,19341,9.6999998,57.799999,-.08951243,IA,MW,MW,1.6511899,3.61111,3.7016444,3.0555599,.41666999,1.192055,.97222,12.968973
IA,1983,1.23,8.1000004,12573.395,60.444653,.36123854,.50397003,.3434,19,0,.20432299,6770.3076,1,0,0,514,.000176997,123,.000042355401,72,42,.00030434801,10,.000072463998,77,36,.00049551536,.00023166952,75,.000353774,32,.000150943,211.56,.000072850002,2904004,137999.92,155393.77,211999.75,19661,9.6000004,57.900002,-.051171359,IA,MW,MW,1.7699699,3.0434802,4.9551535,3.53774,.72463995,2.3166952,1.5094301,12.573395
IA,1984,1.16,7,13203.297,60.740738,.34615386,.54431999,.3592,19,0,.193046,7060.6304,1,0,0,420,.00014467799,100,.000034447101,61,32,.00024060201,7,.000052632,62,29,.00040924348,.00019142035,56,.00027053099,22,.00010628,168.69,.000058111,2902998.5,132999.72,151499.05,207000.31,20497,7.5,59.500004,.067845032,IA,MW,MW,1.44678,2.4060202,4.0924349,2.7053099,.52631998,1.9142034,1.0628,13.203297
IA,1985,1.1,8,13351.695,60.493256,.33368644,.58789998,.37579399,19,0,.184236,7001.0376,1,0,0,474,.00016435501,85,.000029473,62,37,.000286822,6,.000046511999,71,21,.00048069781,.00014217822,76,.00038383799,25,.000126263,182.75101,.000063366999,2884001,128999.87,147701.94,198000.2,20191,7.1999998,60.100002,-.019883482,IA,MW,MW,1.64355,2.8682201,4.8069782,3.8383799,.46511999,1.4217823,1.26263,13.351695
IA,1986,.98000002,7,13812.178,62.523365,.38312694,.63499999,.39311099,20,0,.178267,7192.9902,1,0,0,441,.000154737,93,.0000326316,62,49,.00037121199,5,.000037878999,65,25,.00045138889,.00017361112,51,.00028813601,13,.000073445997,146.979,.000051571998,2849997,132000.05,144000,176999.75,20500,7,60.700001,.014371527,IA,MW,MW,1.5473701,3.7121201,4.5138888,2.8813601,.37878999,1.7361112,.73446,13.812178
IA,1987,1.04,5.5,14284,64.031807,.42750001,.68580002,.41122699,21,0,.17257001,7342.2573,1,0,0,491,.00017325301,91,.0000321101,61,42,.000328125,6,.000046875,55,16,.00039855001,.000115942,56,.000329412,13,.000076470998,186.09,.000065663,2834005.8,128000,138000.25,169999.88,20808,6.1999998,61.5,-.012807499,IA,MW,MW,1.7325301,3.28125,3.9855001,3.2941201,.46875,1.15942,.76471001,14.284
IA,1988,.95999998,4.5,14111.646,66.682175,.48492688,.74070001,.430177,21,0,.15633,7730.0635,1,0,0,557,.00019654199,106,.000037402999,65,40,.00033333301,8,.000066667002,63,22,.00050000002,.000174603,73,.00041954001,22,.00012643699,182.05099,.000064237996,2834000,120000.12,125999.99,174000.09,21907,5.5,62.300003,.024941431,IA,MW,MW,1.9654199,3.3333302,5,4.1954002,.66667002,1.74603,1.26437,14.111646
KS,1982,1.29,6.3000002,14094.272,62.732918,.48400956,3.1966,.42640701,21,0,.21310499,7333.0693,0,1,1,498,.000206811,88,.000036544901,55,30,.00027026999,7,.000063063002,56,18,.00041587843,.0001336752,77,.000416216,24,.00012973,288.30499,.000119728,2407995.8,111000.12,134654.73,185000.09,17658,9.6999998,57.799999,-.015405606,KS,MW,MW,2.06811,2.7026999,4.1587844,4.1621599,.63063002,1.3367521,1.2973001,14.094273
KS,1983,1.23,6.0999999,13917.432,62.443947,.46513763,3.2460999,.44025701,21,0,.20455299,7479.6108,0,1,1,411,.000169345,76,.000031314401,45,30,.00028301901,3,.000028302,59,28,.00044910287,.00021313356,64,.00035164799,16,.000087911998,185.429,.000076402001,2426998,105999.95,131373.02,182000.19,18153,9.6000004,57.900002,.0094826138,KS,MW,MW,1.69345,2.8301899,4.4910288,3.51648,.28301999,2.1313357,.87911999,13.917432
KS,1984,1.21,5.1999998,14308.791,63.119774,.44571429,3.2962999,.454557,21,0,.195035,7670.8877,0,1,1,510,.000209016,96,.000039344301,62,32,.000313725,6,.000058824,60,22,.00046812359,.00017164531,68,.00038418101,20,.000112994,208.66901,.000085519998,2440004.5,102000.16,128171.28,176999.91,18717,7.5,59.500004,.054953858,KS,MW,MW,2.0901599,3.1372499,4.6812358,3.84181,.58824003,1.7164531,1.12994,14.308791
KS,1985,1.22,5,14631.355,65.551842,.42966104,3.3473001,.46932101,21,0,.190181,7867.3335,0,1,1,486,.00019836699,89,.000036326499,47,29,.00028712899,3,.000029703,61,20,.00048781434,.00015993913,67,.00039644999,27,.000159763,231.75,.000094591996,2450004.3,100999.9,125047.58,168999.88,19275,7.1999998,60.100002,.010786045,KS,MW,MW,1.9836699,2.87129,4.8781433,3.9645,.29703,1.5993912,1.59763,14.631355
KS,1986,1.14,5.4000001,14977.296,64.407715,.41857585,3.3991001,.48456499,21,0,.18350901,8100.0532,1,1,1,500,.000203335,110,.000044733599,56,38,.00035513999,7,.000065421002,63,30,.00051639345,.00024590164,59,.000378205,17,.000108974,216.01401,.000087845998,2458996.3,107000.06,122000,156000.05,19918,7,60.700001,.025077632,KS,MW,MW,2.03335,3.5513999,5.1639347,3.7820501,.65421003,2.4590163,1.08974,14.977296
KS,1987,1.08,4.9000001,15152,65.775108,.40560001,3.4516001,.500305,21,0,.17938501,8304.1309,1,1,1,491,.000198304,112,.000045234199,72,37,.000352381,10,.000095238,62,24,.00052542001,.00020338999,66,.00043421099,27,.000177632,184.431,.000074486998,2475996.5,104999.98,118000.84,151999.84,20560.998,6.1999998,61.5,.0028574935,KS,MW,MW,1.98304,3.5238099,5.2542,4.3421097,.95238,2.0339,1.77632,15.152
KS,1988,1.08,4.8000002,15167.469,66.143013,.39037538,3.5050001,.51655501,21,0,.170375,8481.3555,1,1,1,483,.000193587,95,.000038076199,63,34,.00033333301,7,.000068627,59,27,.00053636002,.00024545501,52,.00034210499,14,.000092105001,161.535,.000064742999,2495002.3,102000.1,110000.74,152000.13,21161.002,5.5,62.300003,.020685548,KS,MW,MW,1.9358699,3.3333302,5.3636003,3.4210498,.68627,2.45455,.92105001,15.167469
KY,1982,1.4299999,10.6,11071.599,55.839825,.21599045,24.0411,.30000001,21,39.4533,.195236,6937.4658,0,0,0,822,.000222523,159,.000043042801,100,67,.00034536101,14,.000072164999,113,37,.000542528,.00017764189,119,.00042960301,33,.000119134,279.19501,.000075581003,3694000.3,193999.89,208284.19,276999.91,25627,9.6999998,57.799999,-.027683862,KY,MW,MW,2.22523,3.4536102,5.4252801,4.29603,.72165,1.7764189,1.19134,11.071599
KY,1983,1.38,11.7,10913.991,55.220585,.20756879,23.912701,.30000001,21,39.240799,.20271499,7194.1426,0,0,0,778,.00020947801,148,.000039849201,95,73,.00039037401,14,.000074866002,92,35,.00044846811,.00017061287,101,.000364621,33,.000119134,262.608,.000070708003,3713993.8,187000.16,205142.8,276999.97,26719,9.6000004,57.900002,.012802681,KY,MW,MW,2.09478,3.9037402,4.4846811,3.64621,.74866003,1.7061287,1.19134,10.913991
KY,1984,1.3,9.3000002,11441.758,56.902237,.19890109,23.785,.30000001,21,40.354099,.191641,7513.7031,1,0,0,754,.000202688,126,.000033871002,80,55,.00030386701,10,.000055248998,87,21,.00043058913,.00010393531,107,.00039051101,25,.000091241003,236.672,.000063621002,3720003.3,181000.23,202048.77,273999.97,27951,7.5,59.500004,.064612739,KY,MW,MW,2.02688,3.0386701,4.3058915,3.9051101,.55249,1.0393531,.91241002,11.441758
KY,1985,1.28,9.5,11405.721,55.89949,.19173728,23.6579,.30000001,21,39.1036,.20264199,7654.3354,1,0,0,712,.00019109,117,.000031400999,69,61,.00034463301,16,.000090394999,84,18,.00042210758,.000090451627,92,.000342007,30,.000111524,203.75,.000054683002,3725993,176999.88,199001.41,269000.34,28520,7.1999998,60.100002,-.0024901908,KY,MW,MW,1.9109,3.4463301,4.221076,3.4200699,.90394998,.90451628,1.11524,11.405721
KY,1986,1.17,9.3000002,11602.684,55.579712,.1867905,23.5315,.30000001,21,45.792099,.17963,7859.6206,1,0,0,805,.000216049,142,.0000381106,108,58,.00031693999,18,.000098361001,89,22,.00045408163,.0001122449,105,.00042682901,34,.00013821101,244.90601,.000065729,3726006.8,182999.94,196000,246000.16,29285,7,60.700001,.010347226,KY,MW,MW,2.16049,3.1694,4.5408163,4.26829,.98361003,1.1224489,1.38211,11.602684
KY,1987,1.16,8.8000002,12008,55.38739,.18099999,23.4058,.30000001,21,45.7798,.173935,8135.2441,1,0,0,844,.000226456,121,.000032465799,75,80,.00043715801,10,.000054644999,87,17,.00045312001,.000088542001,106,.00044166701,25,.000104167,255.851,.000068647998,3726993.3,183000.19,192002.11,239999.81,30320,6.1999998,61.5,.04725308,KY,MW,MW,2.26456,4.3715801,4.5311999,4.4166703,.54645002,.88542002,1.04167,12.008
KY,1988,1.16,7.9000001,12340.712,56.579418,.17420596,23.2808,.30000001,21,45.7798,.166122,8482.4355,1,0,0,838,.00022484599,107,.000028709401,79,77,.00043502799,9,.000050847,93,20,.00052246999,.00011236,106,.000432653,22,.000089795998,224.85001,.00006033,3726995.5,177000.11,178000.66,245000.03,31614,5.5,62.300003,.032940015,KY,MW,MW,2.2484598,4.3502798,5.2247,4.32653,.50847,1.1236,.89796001,12.340712
LA,1982,1.84,10.3,12213.604,53.747185,.86634845,15.2656,.32828599,18,3.4542999,.28149599,6137.7988,1,1,1,1091,.00024891601,230,.000052475501,120,58,.000241667,15,.000062500003,155,49,.00061586068,.00019469144,175,.000507246,50,.000144928,378.60901,.000086380998,4383004.5,239999.67,251680.3,345000.25,26902,9.6999998,57.799999,-.042827763,LA,S,S,2.4891601,2.4166701,6.158607,5.0724602,.625,1.9469144,1.4492799,12.213604
LA,1983,1.76,11.8,11994.266,53.367054,.83256882,15.1498,.34341401,18,3.4091001,.243499,6208.7417,0,1,1,933,.00021008799,168,.000037829301,95,66,.000280851,13,.000055319,117,31,.00046994246,.00012451467,142,.00041399401,37,.000107872,362.47,.000081619,4440996.5,235000.05,248966.66,343000.13,27573,9.6000004,57.900002,-.061993785,LA,S,S,2.1008799,2.8085101,4.6994247,4.1399403,.55318999,1.2451468,1.07872,11.994266
LA,1984,1.74,10,12017.582,54.882259,.79780221,15.0348,.35923901,18,3.1831,.281625,7080.9385,0,1,1,961,.000215423,222,.0000497646,138,70,.00030837001,19,.000083699997,119,53,.00048318543,.00021520023,152,.00044970401,48,.000142012,407.52701,.000091353002,4460990.5,227000.02,246282.27,338000.09,31588,7.5,59.500004,.024397099,LA,S,S,2.1542301,3.0837002,4.8318543,4.4970403,.83699995,2.1520023,1.42012,12.017582
LA,1985,1.6,11.5,11972.458,54.954674,.76906782,14.9207,.37579399,18,3.1243,.202869,7445.8784,0,1,1,931,.000207766,194,.000043293901,113,61,.00027601799,8,.000036198999,118,46,.00048434734,.00018881337,134,.00040606101,42,.000127273,360.64899,.000080484002,4481002.5,221000.08,243626.81,329999.69,33365,7.1999998,60.100002,-.027661923,LA,S,S,2.0776601,2.76018,4.8434734,4.0606103,.36198997,1.8881336,1.27273,11.972458
LA,1986,1.45,13.1,11602.684,53.712334,.74922603,14.8075,.39311099,18,3.0806999,.19608299,7108.686,0,1,1,932,.00020715701,181,.0000402312,91,57,.00025675699,12,.000054053999,108,32,.00044813278,.00013278009,141,.000465347,34,.000112211,351.91299,.00007822,4499003,221999.8,241000,302999.69,31982,7,60.700001,-.09048254,LA,S,S,2.0715702,2.56757,4.481328,4.65347,.54053998,1.3278009,1.12211,11.602684
LA,1987,1.4,12,11515,53.644043,.72600001,14.6951,.41122699,20.5,3.1069,.182696,6859.2075,0,1,1,827,.00018538399,174,.000039004699,103,58,.000271028,11,.000051401999,82,24,.00035498,.000103896,127,.00043793101,40,.000137931,303.57501,.000068050998,4461011,214000.03,230998.92,290000,30599,6.1999998,61.5,-.060958177,LA,S,S,1.8538399,2.7102799,3.5497999,4.3793101,.51401997,1.03896,1.37931,11.515
LA,1988,1.39,10.9,11830.606,53.848583,.69874883,14.5836,.430177,21,3.1069,.170625,7867.9771,0,1,1,925,.000209846,208,.000047186899,131,57,.00027941199,12,.000058824,108,39,.00051674998,.00018660301,110,.00037288101,34,.000115254,313.573,.000071137001,4407994.5,203999.83,208998.56,295000.28,34682,5.5,62.300003,.021379333,LA,S,S,2.09846,2.7941198,5.1674995,3.7288101,.58824003,1.8660301,1.15254,11.830606
ME,1982,1.97,8.6000004,11442.721,55.990513,.8054893,.1,.40000001,20,3.3450999,.187583,6733.2856,0,1,0,166,.000146127,30,.000026408499,24,11,.000180328,2,.000032787,26,6,.00041764346,.000096379263,19,.0002375,4,.000049999999,75.239998,.000066232002,1135998.1,60999.953,62254.059,80000,7649,9.6999998,57.799999,.0058755218,ME,E,E,1.46127,1.80328,4.1764345,2.375,.32787001,.96379262,.5,11.44272
ME,1983,1.99,9,11795.871,57.259953,.7740826,.1,.40000001,20,3.4061,.183961,6920.5171,0,1,0,224,.00019563299,44,.000038427901,31,22,.00037288101,4,.000067797002,30,9,.00048635982,.00014590795,43,.000530864,11,.00013580199,91.595001,.000079996003,1145001.1,59000.055,61682.727,81000.031,7924,9.6000004,57.900002,.06236035,ME,E,E,1.9563299,3.7288101,4.8635983,5.30864,.67796999,1.4590795,1.3580199,11.795871
ME,1984,1.97,6.0999999,12271.429,59.768784,.74175823,.1,.40000001,20,3.5711901,.17952,8083.9082,0,1,0,232,.000200692,47,.0000406574,39,15,.000258621,2,.000034483,39,12,.00063812413,.00019634588,22,.00027160501,9,.000111111,71.800003,.000062115003,1156000.3,57999.93,61116.637,80999.977,9345,7.5,59.500004,.05904521,ME,E,E,2.0069199,2.58621,6.3812413,2.7160501,.34483001,1.9634588,1.1111101,12.271429
ME,1985,1.83,5.4000001,12609.11,59.771431,.71504241,.1,.40000001,20.5,3.3505199,.174748,7969.9341,0,1,0,206,.000176976,39,.000033505199,28,18,.00032142899,4,.000071429,31,4,.00051192503,.000066054839,22,.000275,8,.000099999997,58.599998,.000050342001,1163999.6,55999.926,60555.742,80000,9277,7.1999998,60.100002,.03663063,ME,E,E,1.76976,3.2142899,5.1192503,2.75,.71429002,.66054839,1,12.60911
ME,1986,1.79,5.3000002,13292.054,60.135902,.749807,.1,.40000001,21,3.3276501,.169682,8550.3477,0,1,0,214,.000182594,34,.0000290102,21,12,.000214286,1,.000017857001,22,5,.00036666667,.000083333332,41,.00055405399,10,.00013513499,65.879997,.000056214001,1171999.1,55999.926,60000,74000.008,10021,7,60.700001,.061839048,ME,E,E,1.82594,2.1428599,3.6666667,5.5405397,.17857,.83333331,1.3513499,13.292054
ME,1987,1.78,4.4000001,13984,62.47216,.78750002,.1,.40000001,21,3.2855899,.188787,9069.9365,0,1,0,232,.00019545099,36,.0000303286,26,12,.000214286,2,.000035714002,34,9,.00057626999,.00015254199,26,.00036111099,11,.000152778,59.93,.000050490002,1186998.4,55999.926,59000.121,72000.023,10766,6.1999998,61.5,.11284554,ME,E,E,1.95451,2.1428599,5.7627001,3.61111,.35714,1.52542,1.5277799,13.984
ME,1988,1.78,3.8,14538.979,62.910282,.75794035,.1,.40000001,21,3.2855899,.17982601,9461.3994,0,1,0,255,.000211618,31,.0000257261,25,21,.00038181801,3,.000054544998,28,4,.00050000002,.000071429,29,.00037662301,6,.000077921999,61.77,.000051260999,1205001.5,55000.023,55999.996,77000.078,11401,5.5,62.300003,.070377089,ME,E,E,2.1161799,3.8181801,5,3.7662301,.54544997,.71429002,.77921999,14.53898
MD,1982,2.46,8.3999996,15198.091,61.45026,.24105012,3.0226901,.32828599,21,1.53368,.196279,6768.0938,1,0,0,640,.000149778,182,.000042593001,101,43,.000181435,10,.000042193999,90,45,.00038460214,.00019230107,92,.000296774,37,.000119355,175.60001,.000041095998,4272990.5,236999.48,234008.06,310000.19,28920,9.6999998,57.799999,-.0069334884,MD,E,E,1.4977801,1.81435,3.8460214,2.9677401,.42194,1.9230107,1.19355,15.198091
MD,1983,2.3800001,6.9000001,15644.495,63.146549,.23165138,3.03409,.34341401,21,1.50105,.20468999,7118.8252,1,0,0,656,.000152523,167,.000038828199,93,47,.00020434801,11,.000047826001,69,32,.00029776958,.00013809605,102,.00032692301,36,.000115385,177.33,.000041231,4300990.5,229999.8,231722.8,312000.06,30618,9.6000004,57.900002,.057963554,MD,E,E,1.5252301,2.0434802,2.9776959,3.2692301,.47826001,1.3809605,1.1538501,15.644495
